winStart(sec): 370, winEnd(sec): 435, packCount: 183 , mostActC: 17, S-SA: 0, avSize: 181.551913, avTimeMostAct: 2.549058, F-S: 16 , susComb: 0 
winStart(sec): 380, winEnd(sec): 445, packCount: 153 , mostActC: 18, S-SA: 0, avSize: 188.326797, avTimeMostAct: 3.275444, F-S: 11 , susComb: 0 
winStart(sec): 390, winEnd(sec): 455, packCount: 230 , mostActC: 16, S-SA: 0, avSize: 282.100000, avTimeMostAct: 3.562217, F-S: 7 , susComb: 0 
winStart(sec): 400, winEnd(sec): 465, packCount: 227 , mostActC: 17, S-SA: 0, avSize: 312.088106, avTimeMostAct: 0.101479, F-S: 6 , susComb: 0 
winStart(sec): 410, winEnd(sec): 475, packCount: 225 , mostActC: 18, S-SA: 1, avSize: 322.315556, avTimeMostAct: 3.280996, F-S: 4 , susComb: 0 
winStart(sec): 420, winEnd(sec): 485, packCount: 213 , mostActC: 18, S-SA: 1, avSize: 329.375587, avTimeMostAct: 3.052578, F-S: 4 , susComb: 0 
winStart(sec): 430, winEnd(sec): 495, packCount: 214 , mostActC: 19, S-SA: 1, avSize: 335.514019, avTimeMostAct: 3.339373, F-S: 4 , susComb: 0 
winStart(sec): 440, winEnd(sec): 505, packCount: 208 , mostActC: 18, S-SA: 1, avSize: 340.254808, avTimeMostAct: 3.287101, F-S: 2 , susComb: 0 
winStart(sec): 450, winEnd(sec): 515, packCount: 196 , mostActC: 18, S-SA: 1, avSize: 350.219388, avTimeMostAct: 3.314815, F-S: 2 , susComb: 0 
winStart(sec): 460, winEnd(sec): 525, packCount: 118 , mostActC: 14, S-SA: 1, avSize: 217.364407, avTimeMostAct: 3.998704, F-S: 0 , susComb: 0 
winStart(sec): 470, winEnd(sec): 535, packCount: 117 , mostActC: 15, S-SA: 1, avSize: 208.051282, avTimeMostAct: 3.924762, F-S: 0 , susComb: 0 
winStart(sec): 480, winEnd(sec): 545, packCount: 140 , mostActC: 15, S-SA: 0, avSize: 189.828571, avTimeMostAct: 3.080792, F-S: 0 , susComb: 0 
winStart(sec): 490, winEnd(sec): 555, packCount: 157 , mostActC: 17, S-SA: 0, avSize: 195.611465, avTimeMostAct: 3.333079, F-S: 0 , susComb: 0 
winStart(sec): 500, winEnd(sec): 565, packCount: 156 , mostActC: 16, S-SA: 0, avSize: 195.391026, avTimeMostAct: 2.419349, F-S: 1 , susComb: 0 
winStart(sec): 510, winEnd(sec): 575, packCount: 310 , mostActC: 31, S-SA: 1, avSize: 304.625806, avTimeMostAct: 0.050992, F-S: 3 , susComb: 0 
winStart(sec): 520, winEnd(sec): 585, packCount: 318 , mostActC: 31, S-SA: 1, avSize: 300.688679, avTimeMostAct: 0.050992, F-S: 3 , susComb: 0 
winStart(sec): 530, winEnd(sec): 595, packCount: 292 , mostActC: 31, S-SA: 1, avSize: 321.339041, avTimeMostAct: 0.050992, F-S: 2 , susComb: 0 
winStart(sec): 540, winEnd(sec): 605, packCount: 276 , mostActC: 31, S-SA: 0, avSize: 330.304348, avTimeMostAct: 0.050992, F-S: 3 , susComb: 0 
winStart(sec): 550, winEnd(sec): 615, packCount: 254 , mostActC: 31, S-SA: 1, avSize: 349.838583, avTimeMostAct: 0.050992, F-S: 3 , susComb: 0 
winStart(sec): 560, winEnd(sec): 625, packCount: 234 , mostActC: 31, S-SA: 1, avSize: 366.290598, avTimeMostAct: 0.050992, F-S: 2 , susComb: 0 
winStart(sec): 570, winEnd(sec): 635, packCount: 144 , mostActC: 22, S-SA: 0, avSize: 371.368056, avTimeMostAct: 0.086181, F-S: 1 , susComb: 0 
winStart(sec): 580, winEnd(sec): 645, packCount: 85 , mostActC: 16, S-SA: 0, avSize: 257.541176, avTimeMostAct: 3.715791, F-S: 0 , susComb: 0 
winStart(sec): 590, winEnd(sec): 655, packCount: 85 , mostActC: 16, S-SA: 0, avSize: 251.423529, avTimeMostAct: 3.699409, F-S: 0 , susComb: 0 
winStart(sec): 600, winEnd(sec): 665, packCount: 108 , mostActC: 17, S-SA: 0, avSize: 217.712963, avTimeMostAct: 3.286771, F-S: 1 , susComb: 0 
winStart(sec): 610, winEnd(sec): 675, packCount: 112 , mostActC: 18, S-SA: 0, avSize: 202.464286, avTimeMostAct: 3.153451, F-S: 1 , susComb: 0 
winStart(sec): 620, winEnd(sec): 685, packCount: 134 , mostActC: 17, S-SA: 0, avSize: 187.708955, avTimeMostAct: 2.477018, F-S: 3 , susComb: 0 
winStart(sec): 630, winEnd(sec): 695, packCount: 199 , mostActC: 23, S-SA: 0, avSize: 202.331658, avTimeMostAct: 2.538324, F-S: 6 , susComb: 0 
winStart(sec): 640, winEnd(sec): 705, packCount: 267 , mostActC: 23, S-SA: 1, avSize: 236.891386, avTimeMostAct: 2.035074, F-S: 13 , susComb: 0 
winStart(sec): 650, winEnd(sec): 715, packCount: 271 , mostActC: 23, S-SA: 1, avSize: 240.324723, avTimeMostAct: 2.269662, F-S: 13 , susComb: 0 
winStart(sec): 660, winEnd(sec): 725, packCount: 251 , mostActC: 23, S-SA: 2, avSize: 249.023904, avTimeMostAct: 2.593809, F-S: 11 , susComb: 0 
winStart(sec): 670, winEnd(sec): 735, packCount: 238 , mostActC: 21, S-SA: 2, avSize: 255.084034, avTimeMostAct: 0.020606, F-S: 11 , susComb: 0 
